05/05|Terça|Tarde|Colégio Monteiro Lobato|17h00|Quadra Grande|5º ano Ensino Fundamental I|Futsal|Fem|VERDE X P-
05/05|Terça|Tarde|Colégio Monteiro Lobato|17h30|Quadra Grande|5º ano Ensino Fundamental I|Futsal|Fem|VERDE X V-
05/05|Terça|Tarde|Colégio Monteiro Lobato|14h00|Quadra Grande|4º ano Ensino Fundamental I|Futsal|Masc|ROXO X VERDE
05/05|Terça|Tarde|Colégio Monteiro Lobato|14h00|Quadra 1|5º ano Ensino Fundamental I|Dodgeball|Fem|VERMELHO X ROXO
05/05|Terça|Tarde|Colégio Monteiro Lobato|14h00|Quadra 2|4º ano Ensino Fundamental I|Dodgeball|Fem|VERMELHO X VERDE
05/05|Terça|Tarde|Colégio Monteiro Lobato|14h40|Quadra Grande|4º ano Ensino Fundamental I|Futsal|Masc|VERMELHO X P-
05/05|Terça|Tarde|Colégio Monteiro Lobato|14h40|Quadra 1|5º ano Ensino Fundamental I|Dodgeball|Fem|VERDE X P-
05/05|Terça|Tarde|Colégio Monteiro Lobato|14h40|Quadra 2|4º ano Ensino Fundamental I|Dodgeball|Fem|ROXO X P-
05/05|Terça|Tarde|Colégio Monteiro Lobato|15h20|Quadra Grande|4º ano Ensino Fundamental I|Futsal|Masc|VERMELHO X V-
05/05|Terça|Tarde|Colégio Monteiro Lobato|15h20|Quadra 1|5º ano Ensino Fundamental I|Dodgeball|Fem|VERDE X V-
05/05|Terça|Tarde|Colégio Monteiro Lobato|15h20|Quadra 2|4º ano Ensino Fundamental I|Dodgeball|Fem|ROXO X V-
05/05|Terça|Tarde|Colégio Monteiro Lobato|16h20|Quadra Grande|4º ano Ensino Fundamental I|Futsal|Fem|VERDE X VERMELHO
05/05|Terça|Tarde|Colégio Monteiro Lobato|16h20|Quadra 1|5º ano Ensino Fundamental I|Dodgeball|Masc|ROXO X VERDE
05/05|Terça|Tarde|Colégio Monteiro Lobato|16h20|Quadra 2|4º ano Ensino Fundamental I|Dodgeball|Masc|VERMELHO X ROXO
